"Profit Plus Contabilidad
-> HE R.I.F.:",, ,,,,,,,
"*BALANCE DE COMPROBACIÓN HS
Fecha:Desde 01/01/2025 Hasta 31/01/2025;",,,,,Fecha:  07/02/2025       12:49:47PM,,,,
Origen,"Sistema Contable
-> HE R.I.F.:",,,,,,,,
,,,,,,,,,
Tabla 1,Código,Descripción,,Saldo Inicial,Debitos,,Créditos,Saldo Actual,
Tabla 1,201-,INVERSIONES APTAS PARA LA REPRESENTACIÓN DE LAS,,2964600.97,13340155.24,,12234925.46,4069830.75,
Tabla 1,201-01-,DISPONIBLE,,2436314.73,12937223.85,,11653245.46,3720293.12,
Tabla 1,201-01-01-,CAJA  PRINCIPAL,,,3746896.06,,3746896.06,,
Tabla 1,201-01-01-01-,CAJA  PRINCIPAL,,,3746896.06,,3746896.06,,
Tabla 1,201-01-01-01-01-,CAJA  PRINCIPAL,,,3746896.06,,3746896.06,,
Tabla 1,201-01-01-01-01-01,CAJA  PRINCIPAL,,,3746896.06,,3746896.06,,
Tabla 1,201-01-03-,DEPOSITOS A LA VISTA,,2436314.73,9190327.79,,7906349.4,3720293.12,
Tabla 1,201-01-03-01-,MONEDA NACIONAL,,48130.07,7745454.3,,7459428.69,334155.68,
Tabla 1,201-01-03-01-01-,MONEDA NACIONAL,,48130.07,7745454.3,,7459428.69,334155.68,
Tabla 1,201-01-03-01-01-03,BANCO MERCANTIL 0105-0028-1010-2825-0045,,1670.8,10500,,10339.72,1831.08,
Tabla 1,201-01-03-01-01-04,BANCO VENEZUELA 0102-0278-7100-0005-5903,,229.94,,,0.5,229.44,
Tabla 1,201-01-03-01-01-06,BANCO BICENTENARIO,,10810.02,,,60.5,10749.52,
Tabla 1,201-01-03-01-01-13,BNC 8204 CTA CTE 01910098772198188204,,,2866421.77,,2859468.9,6952.87,
Tabla 1,201-01-03-01-01-14,BNC 0139 CTA CTE 01910098742198190139,,9756.22,468278.52,,471094.67,6940.07,
Tabla 1,201-01-03-01-01-15,BNC 0145 CTA CTE 01910098792198190145,,25325.3,3810074.01,,3766672.52,68726.79,
Tabla 1,201-01-03-01-01-16,BANCARIBE CTA CTE 0114-0165-19-1650263762,,337.79,590180,,351791.88,238725.91,
Tabla 1,201-01-03-02-,MONEDA EXTRANJERA (BANCOS NACIONALES),,2388184.66,1444873.49,,446920.71,3386137.44,
Tabla 1,201-01-03-02-01-,MONEDA EXTRANJERA (BANCOS NACIONALES),,2388184.66,1444873.49,,446920.71,3386137.44,
Tabla 1,201-01-03-02-01-01,BNC9381 CTA EFECTIVO MONEDA EXTRANJERA (BANCOS,,1829409.31,1375958.68,,446920.71,2758447.28,
Tabla 1,201-01-03-02-01-02,BANCARIBE CTA EFECTIVO MONEDA EXTRANJERA (BANC,,558775.35,68914.81,,,627690.16,
Tabla 1,201-02-,VALORES PUBLICOS,,528286.24,402931.39,,581680,349537.63,
Tabla 1,201-02-01-,EMITIDOS O GARANTIZADOS POR LA REPÚBLICA,,528286.24,402931.39,,581680,349537.63,
Tabla 1,201-02-01-01-,EMITIDOS O GARANTIZADOS POR LA REPÚBLICA,,528286.24,402931.39,,581680,349537.63,
Tabla 1,201-02-01-01-01-,EMITIDOS O GARANTIZADOS POR LA REPÚBLICA,,528286.24,402931.39,,581680,349537.63,
Tabla 1,201-02-01-01-01-01,VALORES PUBLICOS,,528286.24,402931.39,,581680,349537.63,
Tabla 1,202-,GARANTIA A LA NACION,,4405423.03,,,,4405423.03,
Tabla 1,202-01-,EFECTIVOS DEPOSITADOS EN BANCOS,,4405423.03,,,,4405423.03,
Tabla 1,202-01-01-,EFECTIVOS DEPOSITADOS EN BANCOS,,4405423.03,,,,4405423.03,
Tabla 1,202-01-01-01-,EFECTIVOS DEPOSITADOS EN BANCOS,,4405423.03,,,,4405423.03,
Tabla 1,202-01-01-01-01-,EFECTIVOS DEPOSITADOS EN BANCOS,,4405423.03,,,,4405423.03,
Tabla 1,202-01-01-01-01-01,GARANTIA A LA NACION,,4405423.03,,,,4405423.03,
Tabla 1,203-,INVERSIONES NO APTAS PARA LA REPRESENTACION DE L,,85867439.11,21650148.75,,11074292.37,96443295.49,
Tabla 1,203-04-,INMUEBLES,,11803635.8,,,,11803635.8,
Tabla 1,203-04-02-,EDIFICACIONES,,11803635.8,,,,11803635.8,
Tabla 1,203-04-02-01-,EDIFICACIONES,,11803635.8,,,,11803635.8,
Tabla 1,203-04-02-01-01-,EDIFICACIONES,,11803635.8,,,,11803635.8,
Tabla 1,203-04-02-01-01-01,BIENES INMUEBLES,,11803635.8,,,,11803635.8,
Tabla 1,203-06-,INVERSIONES EN EL EXTRANJERO,,73951913.33,21419660.51,,10756483.67,84615090.17,
Tabla 1,203-06-01-,BANCOS,,73951913.33,21419660.51,,10756483.67,84615090.17,
Tabla 1,203-06-01-01-,BANCOS,,73951913.33,21419660.51,,10756483.67,84615090.17,
Tabla 1,203-06-01-01-01-,BANCOS,,73951913.33,21419660.51,,10756483.67,84615090.17,
Tabla 1,203-06-01-01-01-05,BANCARIBE INTERNACIONAL BANK,,7358300.12,3482285.31,,2580602.09,8259983.34,
Tabla 1,203-06-01-01-01-06,AMERANT,,49215900.78,11823578.09,,854765.38,60184713.49,
Tabla 1,203-06-01-01-01-07,BANESCO PANAMA,,14788356.19,5794446.94,,7321116.2,13261686.93,
Tabla 1,203-06-01-01-01-08,BANCARIBE CURAZAO BANK,,2589356.24,319350.17,,,2908706.41,
Tabla 1,203-11-,DISPONIBLE,,111889.98,230488.24,,317808.7,24569.52,
Tabla 1,203-11-02-,CAJA CHICA,,111889.98,230488.24,,317808.7,24569.52,
Tabla 1,203-11-02-01-,CAJA CHICA,,111889.98,230488.24,,317808.7,24569.52,
Tabla 1,203-11-02-01-01-,CAJA CHICA,,111889.98,230488.24,,317808.7,24569.52,
Tabla 1,203-11-02-01-01-01,CAJA CHICA,,111889.98,230488.24,,317808.7,24569.52,
Tabla 1,204-,ACTIVOS DEPRECIABLES Y AMORTIZABLES,,1052561.45,,,,1052561.45,
Tabla 1,204-01-,MOBILIARIO,,65448.44,,,,65448.44,
Tabla 2,Código,Descripción,Saldo Inicial,,,Debitos,,Créditos,
Tabla 2,204-01-01-,MOBILIARIO,65448.44,,,,,,
Tabla 2,204-01-01-01-,MOBILIARIO,65448.44,,,,,,
Tabla 2,204-01-01-01-01-,MOBILIARIO,65448.44,,,,,,
Tabla 2,204-01-01-01-01-01,MOBILIARIO,65448.44,,,,,,
Tabla 2,204-02-,EQUIPOS DE OFICINA,28603.6,,,,,,
Tabla 2,204-02-01-,EQUIPOS DE OFICINA,28603.6,,,,,,
Tabla 2,204-02-01-01-,EQUIPOS DE OFICINA,28603.6,,,,,,
Tabla 2,204-02-01-01-01-,EQUIPOS DE OFICINA,28603.6,,,,,,
Tabla 2,204-02-01-01-01-01,EQUIPOS DE OFICINA,28603.6,,,,,,
Tabla 2,204-03-,EQUIPO COMPUTACION,958509.41,,,,,,
Tabla 2,204-03-01-,EQUIPO COMPUTACION,958509.41,,,,,,
Tabla 2,204-03-01-01-,EQUIPO COMPUTACION,958509.41,,,,,,
Tabla 2,204-03-01-01-01-,EQUIPO COMPUTACION,958509.41,,,,,,
Tabla 2,204-03-01-01-01-01,EQUIPO COMPUTACION,958509.41,,,,,,
Tabla 2,205-,CUENTAS DEUDORAS POR REASEGUROS,43384585.77,,,139184368.2,,116194412.5,
Tabla 2,205-01-,CUENTAS CORRIENTES CON REASEGURADAS,1213559.27,,,15067653.35,,15011679.87,
Tabla 2,205-01-01-,DEL PAIS,1213559.27,,,15067653.35,,15011679.87,
Tabla 2,205-01-01-01-,DEL PAIS,1213559.27,,,15067653.35,,15011679.87,
Tabla 2,205-01-01-01-01-,DEL PAIS,1213559.27,,,15067653.35,,15011679.87,
Tabla 2,205-01-01-01-01-01,FACULTATIVO,1213559.27,,,55973.48,,,
Tabla 2,205-01-01-01-01-03,CONTRATO,,,,15011679.87,,15011679.87,
Tabla 2,205-02-,CUENTAS CORRIENTES C/RETROCESIONARIOS,,,,2239508.86,,2239508.86,
Tabla 2,205-02-01-,DEL PAIS,,,,2239508.86,,2239508.86,
Tabla 2,205-02-01-01-,DEL PAIS,,,,2239508.86,,2239508.86,
Tabla 2,205-02-01-01-01-,DEL PAIS,,,,2239508.86,,2239508.86,
