Codigo,Descripcion,SaldoInicial,Debitos,Creditos,SaldoActual,Naturaleza,Nivel
2,ACTIVO,500000000,150000000,50000000,600000000,D,1
2.201,BIENES APTOS PARA LA REPRESENTACIÓN DE LAS RESERVAS TÉCNICAS,295000000,85000000,25000000,355000000,D,2
2.201.01,DISPONIBLE,45000000,25000000,8000000,62000000,D,3
2.201.01.01,DEPÓSITOS A LA VISTA,35000000,20000000,6000000,49000000,D,4
2.201.01.01.01,BANCOS,30000000,18000000,5000000,43000000,D,5
2.201.01.01.01.01,MONEDA NACIONAL,20000000,12000000,3000000,29000000,D,6
2.201.01.01.01.02,MONEDA EXTRANJERA,10000000,6000000,2000000,14000000,D,6
2.201.01.02,DEPÓSITOS A PLAZO FIJO,10000000,5000000,2000000,13000000,D,4
2.201.02,VALORES PÚBLICOS,150000000,35000000,10000000,175000000,D,3
2.201.02.01,EMITIDOS O GARANTIZADOS POR LA REPÚBLICA,120000000,30000000,8000000,142000000,D,4
2.201.02.01.01,MONEDA NACIONAL,80000000,20000000,5000000,95000000,D,5
2.201.02.01.02,MONEDA EXTRANJERA,40000000,10000000,3000000,47000000,D,5
2.201.03,PARTICIPACIÓN EN FONDOS DE INVERSIÓN,50000000,15000000,4000000,61000000,D,3
2.201.05,BIENES INMUEBLES EDIFICADOS,50000000,10000000,3000000,57000000,D,3
2.202,GARANTÍA A LA NACIÓN,25000000,0,0,25000000,D,2
2.203,INVERSIONES NO APTAS PARA LA REPRESENTACIÓN,180000000,65000000,25000000,220000000,D,2
2.203.04,INMUEBLES,80000000,20000000,5000000,95000000,D,3
2.203.06,INVERSIONES EN EL EXTRANJERO,100000000,45000000,20000000,125000000,D,3
3,PASIVO,300000000,25000000,75000000,350000000,A,1
3.301,RESERVAS TÉCNICAS,200000000,15000000,45000000,230000000,A,2
3.301.01,RESERVA DE RIESGOS EN CURSO,120000000,8000000,25000000,137000000,A,3
3.301.02,RESERVA MATEMÁTICA,50000000,4000000,12000000,58000000,A,3
3.301.03,RESERVA DE SINIESTROS,30000000,3000000,8000000,35000000,A,3
3.302,OTRAS RESERVAS TÉCNICAS,40000000,5000000,15000000,50000000,A,2
3.302.01,RESERVA DE ESTABILIZACIÓN,25000000,3000000,8000000,30000000,A,3
3.302.02,RESERVA DE CATÁSTROFE,15000000,2000000,7000000,20000000,A,3
302-01,RESERVA LEGAL,10000000,1000000,3000000,12000000,A,2
302-02,RESERVA ESTATUTARIA,8000000,800000,2000000,9200000,A,2
302-03,RESERVA OCASIONAL,5000000,500000,1500000,6000000,A,2
302-04,RESERVA DE CONTINGENCIA,3000000,300000,1000000,3700000,A,2
302-05,RESERVA DE INVERSIÓN,7000000,700000,2100000,8400000,A,2
3.315,OTRAS CUENTAS POR PAGAR,35000000,3000000,8000000,40000000,A,2
3.401,CUENTAS POR PAGAR,35000000,3000000,8000000,40000000,A,2
3.402,PROVISIONES,25000000,2000000,7000000,30000000,A,2
4,PATRIMONIO,200000000,0,50000000,250000000,A,1
4.401,CAPITAL SOCIAL,150000000,0,20000000,170000000,A,2
4.402,RESERVAS PATRIMONIALES,30000000,0,15000000,45000000,A,2
4.403,UTILIDADES RETENIDAS,20000000,0,15000000,35000000,A,2
5,INGRESOS,0,0,500000000,500000000,A,1
5.501,PRIMAS NETAS DEVENGADAS,0,0,400000000,400000000,A,2
5.502,INGRESOS POR INVERSIONES,0,0,80000000,80000000,A,2
5.503,OTROS INGRESOS TÉCNICOS,0,0,20000000,20000000,A,2
6,EGRESOS,350000000,50000000,0,400000000,D,1
6.601,SINIESTROS PAGADOS,200000000,30000000,0,230000000,D,2
6.602,GASTOS DE ADQUISICIÓN,80000000,12000000,0,92000000,D,2
6.603,GASTOS ADMINISTRATIVOS,50000000,6000000,0,56000000,D,2
6.604,OTROS GASTOS TÉCNICOS,20000000,2000000,0,22000000,D,2
7,RESULTADO DEL EJERCICIO,0,0,100000000,100000000,A,1
