,BANCO CENTRAL DE VENEZUELA,,,,,,,,,,,
,,,,,,,,,,,,
,,TIPO DE CAMBIO DE REFERENCIA (*),,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA DE OPERACIÓN,Moneda,Compra (BID),Venta (ASK),,,,,,,,,
31/01/2025,EUR,60.34906928,60.50032008,,,,,,,,,
31/01/2025,CNY,8.06304154,8.08324966,,,,,,,,,
31/01/2025,RUB,0.58806097,0.58953481,,,,,,,,,
31/01/2025,USD,57.8216835,57.9666,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA DE OPERACIÓN,Moneda,Compra (BID),Venta (ASK),,,,,,,,,
27/02/2025,EUR,66.74406232,66.91134067,,,,,,,,,
27/02/2025,CNY,8.82056073,8.8426674,,,,,,,,,
27/02/2025,RUB,0.7342248,0.73606496,,,,,,,,,
27/02/2025,USD,64.085784,64.2464,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA DE OPERACIÓN,Moneda,Compra (BID),Venta (ASK),,,,,,,,,
31/03/2025,EUR,75.16524474,75.35362881,,,,,,,,,
31/03/2025,CNY,9.5541138,9.57805895,,,,,,,,,
31/03/2025,RUB,0.81680498,0.81885211,,,,,,,,,
31/03/2025,USD,69.392484,69.5664,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA DE OPERACIÓN,Moneda,Compra (BID),Venta (ASK),,,,,,,,,
30/04/2025,EUR,98.76529411,99.01282618,,,,,,,,,
30/04/2025,CNY,11.91256772,11.94242378,,,,,,,,,
30/04/2025,RUB,1.05634897,1.05899646,,,,,,,,,
30/04/2025,USD,86.62938375,86.8465,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA DE OPERACIÓN,Moneda,Compra (BID),Venta (ASK),,,,,,,,,
30/05/2025,EUR,109.7243544,109.9993527,,,,,,,,,
30/05/2025,CNY,13.44160323,13.47529146,,,,,,,,,
30/05/2025,RUB,1.23108506,1.23417048,,,,,,,,,
30/05/2025,USD,96.61555575,96.8577,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA DE OPERACIÓN,Moneda,Compra (BID),Venta (ASK),,,,,,,,,
30/06/2025,EUR,125.8774726,126.192955,,,,,,,,,
30/06/2025,CNY,14.97244689,15.00997182,,,,,,,,,
30/06/2025,RUB,1.36766012,1.37108784,,,,,,,,,
30/06/2025,USD,107.3554388,107.6245,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA DE OPERACIÓN,Moneda,Compra (BID),Venta (ASK),,,,,,,,,
31/07/2025,EUR,142.5965112,142.9538959,,,,,,,,,
31/07/2025,CNY,17.26663763,17.30991241,,,,,,,,,
31/07/2025,RUB,1.53350937,1.53735275,,,,,,,,,
31/07/2025,USD,124.1989245,124.5102,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA DE OPERACIÓN,Moneda,Compra (BID),Venta (ASK),,,,,,,,,
29/08/2025,EUR,171.1207997,171.5496739,,,,,,,,,
29/08/2025,CNY,20.57855301,20.63012833,,,,,,,,,
29/08/2025,RUB,1.82234028,1.82690755,,,,,,,,,
29/08/2025,USD,146.7147938,147.0825,,,,,,,,,
